Source.Name;conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username;clean_text;sentimen
kurikulum-merdeka_1.csv;1.93693e+18;Sun Jun 22 23:29:58 +0000 2025;13.0;@DosenGarisLucu Kalau lihat hasil begini apakah salah kalau punya pendapat bahwa Nadiem itu punya niat merusak generasi muda Indonesia?;1.93693e+18;;DosenGarisLucu;in;;0.0;9.0;0.0;https://x.com/undefined/status/1936929688527798658;548979786.0;;kalau lihat hasil begini apakah salah kalau punya dapat bahwa nadiem punya niat rusak generasi muda indonesia;negatif
kurikulum-merdeka_1.csv;1.93693e+18;Mon Jun 23 03:39:51 +0000 2025;219.0;@DosenGarisLucu Kurikulum merdeka was implemented under jokowi's 2nd term in 2020. The IFLS 5 data was from 2014/2015. Having kurikulum merdeka be responsible for the result in IFLS 5 is a temporal impossibility. Dosen garis lucu ? You should grasp the basic factual matters before commenting.;1.93699e+18;;DosenGarisLucu;en;;2.0;8.0;26.0;https://x.com/undefined/status/1936992571970208124;1.46785e+18;;kurikulum merdeka was implemented under jokowi s nd term in the ifls data was from having kurikulum merdeka be responsible for the result in ifls is a temporal impossibility dosen garis lucu you should grasp the basic factual matters before commenting;netral
kurikulum-merdeka_1.csv;1.93693e+18;Mon Jun 23 09:56:18 +0000 2025;0.0;@DosenGarisLucu Loh datanya IFLS 5 kan udh 10 tahun yg lalu belum ada kurikulum merdeka itu gimana sih;1.93709e+18;;DosenGarisLucu;in;;0.0;1.0;0.0;https://x.com/undefined/status/1937087307942887506;94079831.0;;loh data ifls udh tahun lalu ada kurikulum merdeka gimana sih;netral
kurikulum-merdeka_1.csv;1.93693e+18;Mon Jun 23 05:53:10 +0000 2025;16.0;@DosenGarisLucu Kalau ngeliat sourcenya IFLS5 berarti ini proyeksi apa gimana si? Di tahun segitu kan Menterinya Abah? Wkwkwk https://t.co/g3dSxuxaTY;1.93703e+18;https://pbs.twimg.com/media/GuGy_SRWwAA1Jvy.jpg;DosenGarisLucu;in;;0.0;2.0;1.0;https://x.com/undefined/status/1937026124116308375;1.61083e+18;;kalau ngeliat sourcenya ifls arti proyeksi gimana tahun segitu menteri abah wkwkwk;netral
kurikulum-merdeka_1.csv;1.93693e+18;Mon Jun 23 08:32:45 +0000 2025;47.0;@DosenGarisLucu https://t.co/vXmE8JQzUx ini dari sini kan ambilnya? ditulis disana dari tahun 2000 sudah memburuk jadi bukan hanya kurikulum merdeka tapi pendidikan di Indonesia emang hancur dari masa reformasi gimana ngga hancur setiap ganti menteri ganti kurikulum ‍;1.93707e+18;;DosenGarisLucu;in;;1.0;2.0;8.0;https://x.com/undefined/status/1937066284149330361;53289501.0;;sini ambil tulis sana tahun buruk bukan hanya kurikulum merdeka tapi didik indonesia emang hancur masa reformasi gimana ngga hancur tiap ganti menteri ganti kurikulum;negatif
kurikulum-merdeka_1.csv;1.93693e+18;Mon Jun 23 11:22:28 +0000 2025;12.0;@DosenGarisLucu Nerapin ala finlandia tp problem utamanya gak diselesaikan. Sangat pejabat indo sekali.;1.93711e+18;;DosenGarisLucu;in;;0.0;0.0;2.0;https://x.com/undefined/status/1937108992372998206;42642987.0;;nerapin ala finlandia tapi problem utama gak selesai sangat jabat indo sekali;netral
kurikulum-merdeka_1.csv;1.93693e+18;Mon Jun 23 00:00:03 +0000 2025;5.0;@DosenGarisLucu Dokumennya bisa diakses di mana min?;1.93694e+18;;DosenGarisLucu;in;;0.0;1.0;0.0;https://x.com/undefined/status/1936937257052803260;1.52118e+18;;dokumen bisa akses mana min;netral
kurikulum-merdeka_1.csv;1.93693e+18;Mon Jun 23 08:32:59 +0000 2025;20.0;@DosenGarisLucu Guru dipaksa katrol nilai walau nilai siswa jelek kayak tai. Akhirnya murid sombong merasa pintar karena nilai di rapot tertulis 80 lebih semua. Memberi nilai di bawah itu maka guru dianggap tolol sekolah dianggap gagal. Manusia bodoh yang merasa pintar akan selamanya bodoh.;1.93707e+18;;DosenGarisLucu;in;;0.0;2.0;2.0;https://x.com/undefined/status/1937066342773064131;1.6057e+18;;guru paksa katrol nilai walau nilai siswa jelek kayak tai akhir murid sombong rasa pintar nilai rapot tulis lebih semua beri nilai bawah maka guru anggap tolol sekolah anggap gagal manusia bodoh rasa pintar lama bodoh;negatif
kurikulum-merdeka_1.csv;1.93693e+18;Mon Jun 23 12:04:26 +0000 2025;6.0;@DosenGarisLucu The IFLS5 [..] was fielded between late October 2014 and the end of April 2015 with long distance tracking extending through the end of August 2015 https://t.co/Lb9DMkkO7x Kenapa jadi Nadiem yang dibahas? Menteri Pendidikan siapa di periode ini?;1.93712e+18;;DosenGarisLucu;en;;0.0;0.0;0.0;https://x.com/undefined/status/1937119553261281754;15687008.0;;the ifls was fielded between late october and the end of april with long distance tracking extending through the end of august kenapa nadiem bahas menteri didik siapa periode;netral
kurikulum-merdeka_1.csv;1.93693e+18;Mon Jun 23 14:54:46 +0000 2025;2.0;@DosenGarisLucu Bukan kurikulum merdeka yang bermasalah tapai seringnya ganti kurikulum. Ini yang bikin guru sibuk administrasi sampai ngajar cuma seadanya Beban paling berat guru tuh harusnya ngajar bukan administrasi.;1.93716e+18;;DosenGarisLucu;in;;0.0;0.0;0.0;https://x.com/undefined/status/1937162421837390068;7.49476e+17;;bukan kurikulum merdeka masalah tapai sering ganti kurikulum bikin guru sibuk administrasi sampai ngajar cuma ada beban paling berat guru tuh harus ngajar bukan administrasi;negatif
